"Gene","Loading"
"S1022L",0.187945474195278
"S1018L",0.139291945861342
"S1031L",0.128530939241592
"S1015L",0.116402653944281
"S1070L",0.116153777123083
"S1014L",0.112289384145872
"S1088L",0.109206755887047
"S1071L",0.101379332155519
"S3013L",0.0988159877036757
"S1012L",0.0971203298486465
"S1047L",0.0948965419794928
"S3028L",0.090907455406873
"S1025L",0.0905166428455612
"S1003L",0.0901891640221436
"S1034L",0.0892137397182427
"S1032L",0.0830466506043134
"S1010L",0.0820615433518273
"S3007L",0.0688616869933784
"S1045L",0.0646985789619788
"S1029L",0.0638755860728193
"S1077L",0.0550811025882
"S3019L",0.0442892428173778
"S1068L",0.0417058416957986
"S1067L",0.0381555545439407
"S3005L",-0.00936855100443377
"S1084L",-0.0340088303231331
"S3032L",-0.0588704521175516
"S1061L",-0.0686775824434258
"S3016L",-0.0788973532958923
"S3031L",-0.0878520519176342
"S3018L",-0.117237976831456
"S1060L",-0.129490195343858
"S1052L",-0.164405086045877
"S1064L",-0.266161923447356
"S1056L",-0.273452555304937
"S1051L",-0.317509693296858
"S1055L",-0.666315059497479
